Column Concept,Section,2012 Column Name,2013 Column Name,2014-2022 Column Name,2023 Column Name,2024 Column Name,2025 Column Name,Notes,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17
TOP LEVEL,,,,,,,,,,,,,,,,,,,,,,,,,
Anonymized Identifier,top,Anonymized Identifier,Anonymized Identifier,Anonymized Identifier,Unique Identifier,Unique Identifier,Unique Identifier,Renamed from 'Anonymized Identifier' to 'Unique Identifier' in 2023+,,,,,,,,,,,,,,,,,
ARRESTS,,,,,,,,,,,,,,,,,,,,,,,,,
Apprehension Date,arrests,arrests.Apprehension Date,arrests.Apprehension Date,arrests.Apprehension Date,arrests_23_25.Apprehension Date,arrests_23_25.Apprehension Date,arrests_23_25.Apprehension Date,Consistent across all years,,,,,,,,,,,,,,,,,
Apprehension Method,arrests,arrests.Apprehension Method,arrests.Apprehension Method,arrests.Apprehension Method,arrests_23_25.Apprehension Method,arrests_23_25.Apprehension Method,arrests_23_25.Apprehension Method,Consistent across all years,,,,,,,,,,,,,,,,,
Arrest Created By,arrests,arrests.Arrest Created By,arrests.Arrest Created By,arrests.Arrest Created By,arrests_23.Arrest Created By,NOT PRESENT,NOT PRESENT,Only in 2012-2023; missing in 2024-2025,,,,,,,,,,,,,,,,,
Apprehension State,arrests,NOT PRESENT,NOT PRESENT,NOT PRESENT,arrests_23_25.Apprehension State,arrests_23_25.Apprehension State,arrests_23_25.Apprehension State,NEW in 2023+ only,,,,,,,,,,,,,,,,,
Apprehension County,arrests,NOT PRESENT,NOT PRESENT,NOT PRESENT,arrests_23_25.Apprehension County,arrests_23_25.Apprehension County,arrests_23_25.Apprehension County,NEW in 2023+ only,,,,,,,,,,,,,,,,,
Apprehension AOR,arrests,NOT PRESENT,NOT PRESENT,NOT PRESENT,arrests_23_25.Apprehension AOR,arrests_23_25.Apprehension AOR,arrests_23_25.Apprehension AOR,NEW in 2023+ only,,,,,,,,,,,,,,,,,
Apprehension Criminality,arrests,NOT PRESENT,NOT PRESENT,NOT PRESENT,arrests_23_25.Apprehension Criminality,arrests_23_25.Apprehension Criminality,arrests_23_25.Apprehension Criminality,NEW in 2023+ only,,,,,,,,,,,,,,,,,
Apprehension Site Landmark,arrests,NOT PRESENT,NOT PRESENT,NOT PRESENT,arrests_23_25.Apprehension Site Landmark,arrests_23_25.Apprehension Site Landmark,arrests_23_25.Apprehension Site Landmark,NEW in 2023+ only,,,,,,,,,,,,,,,,,
Final Program,arrests,NOT PRESENT,NOT PRESENT,NOT PRESENT,arrests_23_25.Final Program,arrests_23_25.Final Program,arrests_23_25.Final Program,NEW in 2023+ only,,,,,,,,,,,,,,,,,
